Clutch_ID,Egg_1_Egg_Position,Egg_1_Hatchling_Success,Egg_2_Egg_Position,Egg_2_Hatchling_Success,Egg_3_Egg_Position,Egg_3_Hatchling_Success,Egg_4_Egg_Position,Egg_4_Hatchling_Success,Egg_5_Egg_Position,Egg_5_Hatchling_Success,Egg_6_Egg_Position,Egg_6_Hatchling_Success,,Clutch_ID,Egg_ID,Position,Survived
1,Top,Died,Top,Died,Top,Died,,,,,,,,1,1,Top,0
2,Top,Died,Top,Died,Middle,Survived,Bottom,Survived,Bottom,Survived,,,,1,2,Top,0
3,Top,Survived,Top,Survived,Top,Survived,Top,Survived,,,,,,1,2,Top,0
4,Top,Died,Top,Died,Middle,Died,Middle,Died,,,,,,2,1,Top,0
5,Top,Survived,Middle,Survived,Middle,Survived,Middle,Survived,Bottom,Survived,Bottom,Survived,,2,2,Top,0
6,Top,Survived,Top,Survived,Top,Survived,Middle,Survived,Bottom,Survived,,,,2,3,Middle,1
7,Top,Survived,Top,Survived,Bottom,Survived,Bottom,Survived,Bottom,Survived,Bottom,Died,,2,4,Bottom,1
8,Top,Survived,Top,Survived,Middle,Died,,,,,,,,2,5,Bottom,1
9,Top,Survived,Middle,Survived,Middle,Survived,Middle,Survived,Bottom,Survived,Bottom,Survived,,3,1,Top,1
10,Top,Survived,Top,Survived,Top,Survived,Middle,Survived,Middle,Survived,Middle,Survived,,3,2,Top,1
11,Top,Survived,Top,Survived,Top,Survived,Top,Survived,,,,,,3,3,Top,1
12,Top,Died,Middle,Survived,Middle,Died,Bottom,Survived,Bottom,Survived,Bottom,Survived,,3,4,Top,1
13,Top,Survived,Top,Survived,Top,Survived,Bottom,Survived,Bottom,Died,Bottom,Died,,4,1,Top,0
14,Top,Died,Top,Died,Bottom,Died,Bottom,Survived,Bottom,Survived,,,,4,2,Top,0
15,Top,Survived,Middle,Survived,Middle,Survived,Middle,Survived,Bottom,Survived,,,,4,3,Middle,0
16,Top,Died,Top,Died,,,,,,,,,,4,4,Middle,0
17,Top,Died,Bottom ,Survived,Bottom,Survived,Bottom,Survived,Bottom,Survived,,,,5,1,Top,1
,,,,,,,,,,,,,,5,2,Middle,1
,,,,,,,,,,,,,,5,3,Middle,1
,,,,,,,,,,,,,,5,4,Middle,1
,,,,,,,,,,,,,,5,5,Bottom,1
,,,,,,,,,,,,,,5,6,Bottom,1
,,,,,,,,,,,,,,6,1,Top,1
,,,,,,,,,,,,,,6,2,Top,1
,,,,,,,,,,,,,,6,3,Top,1
,,,,,,,,,,,,,,6,4,Middle,1
,,,,,,,,,,,,,,6,5,Bottom,1
,,,,,,,,,,,,,,7,1,Top,1
,,,,,,,,,,,,,,7,2,Top,1
,,,,,,,,,,,,,,7,3,Bottom,1
,,,,,,,,,,,,,,7,4,Bottom,1
,,,,,,,,,,,,,,7,5,Bottom,1
,,,,,,,,,,,,,,7,6,Bottom,0
,,,,,,,,,,,,,,8,1,Top,1
,,,,,,,,,,,,,,8,2,Top,1
,,,,,,,,,,,,,,8,3,Middle,0
,,,,,,,,,,,,,,9,1,Top,1
,,,,,,,,,,,,,,9,2,Middle,1
,,,,,,,,,,,,,,9,3,Middle,1
,,,,,,,,,,,,,,9,4,Middle,1
,,,,,,,,,,,,,,9,5,Bottom,1
,,,,,,,,,,,,,,9,6,Bottom,1
,,,,,,,,,,,,,,10,1,Top,1
,,,,,,,,,,,,,,10,2,Top,1
,,,,,,,,,,,,,,10,3,Top,1
,,,,,,,,,,,,,,10,4,Middle,1
,,,,,,,,,,,,,,10,5,Middle,1
,,,,,,,,,,,,,,10,6,Middle,1
,,,,,,,,,,,,,,11,1,Top,1
,,,,,,,,,,,,,,11,2,Top,1
,,,,,,,,,,,,,,11,3,Top,1
,,,,,,,,,,,,,,11,4,Top,1
,,,,,,,,,,,,,,12,1,Top,0
,,,,,,,,,,,,,,12,2,Middle,1
,,,,,,,,,,,,,,12,3,Middle,0
,,,,,,,,,,,,,,12,4,Bottom,1
,,,,,,,,,,,,,,12,5,Bottom,1
,,,,,,,,,,,,,,12,6,Bottom,1
,,,,,,,,,,,,,,13,1,Top,1
,,,,,,,,,,,,,,13,2,Top,1
,,,,,,,,,,,,,,13,3,Top,1
,,,,,,,,,,,,,,13,4,Bottom,1
,,,,,,,,,,,,,,13,5,Bottom,0
,,,,,,,,,,,,,,13,6,Bottom,0
,,,,,,,,,,,,,,14,1,Top,0
,,,,,,,,,,,,,,14,2,Top,0
,,,,,,,,,,,,,,14,3,Bottom,0
,,,,,,,,,,,,,,14,4,Bottom,1
,,,,,,,,,,,,,,14,5,Bottom,1
,,,,,,,,,,,,,,15,1,Top,1
,,,,,,,,,,,,,,15,2,Middle,1
,,,,,,,,,,,,,,15,3,Middle,1
,,,,,,,,,,,,,,15,4,Middle,1
,,,,,,,,,,,,,,15,5,Bottom,1
,,,,,,,,,,,,,,16,1,Top,0
,,,,,,,,,,,,,,16,2,Top,0
,,,,,,,,,,,,,,17,1,Top,0
,,,,,,,,,,,,,,17,2,Bottom,1
,,,,,,,,,,,,,,17,3,Bottom,1
,,,,,,,,,,,,,,17,4,Bottom,1
,,,,,,,,,,,,,,17,5,Bottom,1
