Clutch_ID,Tortoise_ID,Clutch_Size,Hatching_Mass,Egg_diameter,SCL,Growth_rate_measurement_1_10,Depth
2,2.2,5,33.14,43.4,47.4,0.339896907,15
2,2.3,5,29.27,42.3,47.7,0.305578947,15
2,2.4,5,31.12,42.6,47.2,0.404148936,15
3,3.1,4,29.23,40.5,47.7,0.509130435,10.5
3,3.2,4,29.25,41.8,48.7,0.422747253,10.5
3,3.3,4,27.83,39.1,47.6,0.263191489,10.5
3,3.4,4,28.19,39.7,45.1,0.408817204,10.5
5,5.1,6,36.22,46.7,50.6,0.408426966,22
5,5.2,6,39.12,43.7,50.4,0.399534884,22
5,5.3,6,38.36,45.7,51.3,0.680116279,22
5,5.4,6,40.51,46.4,53.1,0.369204545,22
5,5.5,6,40.91,48.4,50.8,0.419333333,22
5,5.6,6,40.61,47,53.2,0.422528736,22
6,6.1,5,32.32,41.2,49.2,0.270526316,13.5
6,6.2,5,32.62,41.6,48.1,0.346804124,13.5
6,6.3,5,31.69,42.6,49.2,0.415638298,13.5
6,6.4,5,34.87,42.2,47.9,0.35625,13.5
6,6.5,5,34,43.1,48.9,0.300714286,13.5
7,7.1,6,24.97,42.1,43.4,0.342365591,2.5
7,7.2,6,29.07,42.4,48.8,0.266235294,2.5
7,7.3,6,27.79,43.9,46.6,0.309777778,2.5
7,7.4,6,28.92,43.7,47.1,0.316521739,2.5
7,7.5,6,28.6,41.4,46.8,0.392777778,2.5
8,8.1,3,38.33,47,53.6,0.385531915,10.8
8,8.2,3,37.77,46.3,52.3,0.395104167,10.8
9,9.1,6,30.33,41.6,48.8,0.338390805,6.4
9,9.2,6,30.6,42.5,49.7,0.269662921,6.4
9,9.3,6,30.3,44.8,49.5,0.468604651,6.4
9,9.4,6,29.89,44.43,48.3,0.252159091,6.4
9,9.5,6,32.2,44.3,48.4,0.380588235,6.4
9,9.6,6,30.77,44.5,49.6,0.427931034,6.4
10,10.1,6,34.32,43.5,52.8,0.373378378,8.5
10,10.2,6,32.99,45,48,0.227297297,8.5
10,10.3,6,32.52,41.6,49.8,0.228589744,8.5
10,10.4,6,34.37,44.1,50.7,0.304177215,8.5
10,10.5,6,34.59,40.9,52.8,0.385135135,8.5
10,10.6,6,34.09,43.8,50.9,0.405641026,8.5
11,11.1,4,31.64,45,49.3,0.456444444,15
11,11.2,4,33.42,46.2,47.7,0.301413043,15
11,11.3,4,34.77,45.5,50.6,0.399680851,15
11,11.4,4,33.42,46,49.4,0.32212766,15
12,12.2,6,25.44,38.8,45.7,0.240206186,7
12,12.4,6,26.96,43.5,46.9,0.420816327,7
12,12.5,6,28.35,40.4,48,0.293505155,7
12,12.6,6,28.7,43.7,45.6,0.225612245,7
13,13.1,6,32.35,44.5,50.3,0.511573034,9
13,13.2,6,30.02,41,36.7,0.415494505,9
13,13.3,6,32.3,44,50.2,0.29988764,9
13,13.4,6,31.91,44.2,50.7,0.385340909,9
14,14.4,5,29.9,49.6,48.9,0.25741573,9
14,14.5,5,34.9,52.2,51.5,0.390947368,9
15,15.1,5,30.48,39.3,48,0.313255814,9
15,15.2,5,24.54,39.1,46.2,0.503953488,9
15,15.3,5,31.05,43.9,50.8,0.501724138,9
15,15.4,5,30.11,41.9,48.9,0.420348837,9
15,15.5,5,31.52,45.5,50.8,0.342588235,9
17,17.2,5,32.95,43,49.3,0.437341772,5
17,17.3,5,31.23,41.9,49.8,0.414936709,5
17,17.4,5,32.78,44.9,49.6,0.403924051,5
17,17.5,5,32.06,45,50.4,0.21175,5
